vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,ratecodeid,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,pickup_location,dropoff_location,store_and_fwd_flag,tpep_pickup_seconds,pickup_longitude2,pickup_latitude2,dropoff_longitude2,dropoff_latitude2
VTS,2013-05-08 04:00:00,2013-05-08 04:07:00,2,2.54,-73.980507,40.734197,1,-73.967642,40.763205,CSH,9.5,0.5,0.5,0.0,0,10.5,"{'type': 'Point', 'coordinates': [-73.980507, 40.734197]}","{'type': 'Point', 'coordinates': [-73.967642, 40.763205]}",,14400.0,989652.2626307633,206764.95218283017,993213.7465535785,217334.55370912468
VTS,2013-05-08 04:00:00,2013-05-08 04:01:00,1,0.63,-73.98613,40.756102,1,-73.991077,40.749742,CSH,4.0,0.5,0.5,0.0,0,5.0,"{'type': 'Point', 'coordinates': [-73.98613, 40.756102]}","{'type': 'Point', 'coordinates': [-73.991077, 40.749742]}",,14400.0,988092.6486777269,214745.34700286062,986722.3307882582,212428.01484386183
VTS,2013-05-08 04:00:00,2013-05-08 04:07:00,1,1.47,-73.971807,40.762437,1,-73.98914999999998,40.774312,CRD,7.5,0.5,0.5,1.5,0,10.0,"{'type': 'Point', 'coordinates': [-73.971807, 40.762437]}","{'type': 'Point', 'coordinates': [-73.98915, 40.774312]}",,14400.0,992060.0569252429,217054.3472898374,987255.1434992809,221379.7332601227
VTS,2013-05-08 04:00:00,2013-05-08 04:06:00,1,2.53,-74.004158,40.739577,1,-73.987072,40.766192,CRD,9.0,0.5,0.5,1.9,0,11.9,"{'type': 'Point', 'coordinates': [-74.004158, 40.739577]}","{'type': 'Point', 'coordinates': [-73.987072, 40.766192]}",,14400.0,983097.7507539865,208724.48212595546,987831.1274063827,218421.42504193806
VTS,2013-05-08 04:00:00,2013-05-08 04:21:00,1,8.51,-74.00705499999998,40.729537,1,-73.945587,40.820312,CSH,26.5,0.5,0.5,0.0,0,27.5,"{'type': 'Point', 'coordinates': [-74.007055, 40.729537]}","{'type': 'Point', 'coordinates': [-73.945587, 40.820312]}",,14400.0,982294.6504608883,205066.64605344943,999310.4524804909,238143.6265095085
VTS,2013-05-08 04:00:00,2013-05-08 04:06:00,5,1.38,-73.98725299999998,40.765817,1,-73.991337,40.750502,CSH,6.5,0.5,0.5,0.0,0,7.5,"{'type': 'Point', 'coordinates': [-73.987253, 40.765817]}","{'type': 'Point', 'coordinates': [-73.991337, 40.750502]}",,14400.0,987781.0092884346,218284.79279605922,986650.2641799571,212704.90009915287
VTS,2013-05-08 04:00:00,2013-05-08 04:03:00,1,0.3499999999999999,-74.006268,40.743945,1,-74.004005,40.742212,CSH,4.0,0.5,0.5,0.0,0,5.0,"{'type': 'Point', 'coordinates': [-74.006268, 40.743945]}","{'type': 'Point', 'coordinates': [-74.004005, 40.742212]}",,14400.0,982513.149401323,210315.9181676834,983140.1934281798,209684.49429278594
VTS,2013-05-08 04:00:00,2013-05-08 04:07:00,5,3.2,-73.98343199999998,40.747062,1,-73.951255,40.77981,CSH,10.5,0.5,0.5,0.0,0,11.5,"{'type': 'Point', 'coordinates': [-73.983432, 40.747062]}","{'type': 'Point', 'coordinates': [-73.951255, 40.77981]}",,14400.0,988840.7457353147,211451.91295466275,997749.8726810522,223386.40978443203
CMT,2013-05-08 04:00:01,2013-05-08 04:05:07,3,1.2,-74.006783,40.744012,1,-73.992896,40.741375,CRD,6.0,0.5,0.5,1.0,0,8.0,"{'type': 'Point', 'coordinates': [-74.006783, 40.744012]}","{'type': 'Point', 'coordinates': [-73.992896, 40.741375]}",N,14401.0,982370.4457942804,210340.33903578785,986218.5805059804,209379.60303901965
CMT,2013-05-08 04:00:02,2013-05-08 04:06:51,1,1.9,-74.003988,40.741882,1,-73.995506,40.721297,CSH,8.0,0.5,0.5,0.0,0,9.0,"{'type': 'Point', 'coordinates': [-74.003988, 40.741882]}","{'type': 'Point', 'coordinates': [-73.995506, 40.721297]}",N,14402.0,983144.8987439864,209564.26458321518,985495.7019727395,202064.51212920458
CMT,2013-05-08 04:00:09,2013-05-08 04:13:46,1,3.1,-74.006341,40.743677,1,-74.007254,40.709329,CRD,13.0,0.5,0.5,1.0,0,15.0,"{'type': 'Point', 'coordinates': [-74.006341, 40.743677]}","{'type': 'Point', 'coordinates': [-74.007254, 40.709329]}",N,14409.0,982492.9141754122,210218.2786764191,982238.8863372339,197704.25639812447
CMT,2013-05-08 04:00:11,2013-05-08 04:02:27,1,0.5,-73.983157,40.767693,1,-73.981925,40.763403,CRD,4.0,0.5,0.5,1.0,0,6.0,"{'type': 'Point', 'coordinates': [-73.983157, 40.767693]}","{'type': 'Point', 'coordinates': [-73.981925, 40.763403]}",N,14411.0,988915.4988688506,218968.47332555347,989257.0844872668,217405.55263083373
