vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,ratecodeid,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,pickup_location,dropoff_location,store_and_fwd_flag
VTS,2013-05-08T04:00:00.000,2013-05-08T04:05:00.000,5,0.65000000000000002,-73.985574999999997,40.723227000000001,1,-73.990767000000005,40.715406999999999,CSH,5,0.5,0.5,0,0,6,"{'type': 'Point', 'coordinates': [-73.985575, 40.723227]}","{'type': 'Point', 'coordinates': [-73.990767, 40.715407]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:07:00.000,5,1.8,-73.968226999999999,40.755502,1,-73.991231999999997,40.750587000000003,CSH,8.5,0.5,0.5,0,0,9.5,"{'type': 'Point', 'coordinates': [-73.968227, 40.755502]}","{'type': 'Point', 'coordinates': [-73.991232, 40.750587]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:06:00.000,6,1.05,-73.999369999999999,40.733941999999999,1,-74.005705000000006,40.743982000000003,CRD,6.5,0.5,0.5,1.75,0,9.25,"{'type': 'Point', 'coordinates': [-73.99937, 40.733942]}","{'type': 'Point', 'coordinates': [-74.005705, 40.743982]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:09:00.000,1,1.75,-74.006164999999996,40.743724999999998,1,-73.983576999999997,40.744225,CRD,8.5,0.5,0.5,1.8,0,11.300000000000001,"{'type': 'Point', 'coordinates': [-74.006165, 40.743725]}","{'type': 'Point', 'coordinates': [-73.983577, 40.744225]}",
VTS,2013-05-08T04:00:00.000,2013-05-08T04:03:00.000,1,0.81000000000000005,-73.992635000000007,40.758422000000003,1,-73.991410000000002,40.750250000000001,CSH,4.5,0.5,0.5,0,0,5.5,"{'type': 'Point', 'coordinates': [-73.992635, 40.758422]}","{'type': 'Point', 'coordinates': [-73.99141, 40.75025]}",
CMT,2013-05-08T04:00:01.000,2013-05-08T04:05:07.000,3,1.2,-74.006782999999999,40.744011999999998,1,-73.992896000000002,40.741374999999998,CRD,6,0.5,0.5,1,0,8,"{'type': 'Point', 'coordinates': [-74.006783, 40.744012]}","{'type': 'Point', 'coordinates': [-73.992896, 40.741375]}",N
CMT,2013-05-08T04:00:02.000,2013-05-08T04:06:51.000,1,1.8999999999999999,-74.003988000000007,40.741881999999997,1,-73.995506000000006,40.721297,CSH,8,0.5,0.5,0,0,9,"{'type': 'Point', 'coordinates': [-74.003988, 40.741882]}","{'type': 'Point', 'coordinates': [-73.995506, 40.721297]}",N
CMT,2013-05-08T04:00:09.000,2013-05-08T04:13:46.000,1,3.1000000000000001,-74.006341000000006,40.743676999999998,1,-74.007254000000003,40.709328999999997,CRD,13,0.5,0.5,1,0,15,"{'type': 'Point', 'coordinates': [-74.006341, 40.743677]}","{'type': 'Point', 'coordinates': [-74.007254, 40.709329]}",N
CMT,2013-05-08T04:00:11.000,2013-05-08T04:02:27.000,1,0.5,-73.983157000000006,40.767693000000001,1,-73.981925000000004,40.763402999999997,CRD,4,0.5,0.5,1,0,6,"{'type': 'Point', 'coordinates': [-73.983157, 40.767693]}","{'type': 'Point', 'coordinates': [-73.981925, 40.763403]}",N
CMT,2013-05-08T04:00:12.000,2013-05-08T04:06:25.000,1,1.1000000000000001,-74.010130000000004,40.714160999999997,1,-74.009343000000001,40.704368000000002,CSH,6,0.5,0.5,0,0,7,"{'type': 'Point', 'coordinates': [-74.01013, 40.714161]}","{'type': 'Point', 'coordinates': [-74.009343, 40.704368]}",N
