hex_id,geometry,center_lat,center_lng
882a100d63fffff,"POLYGON ((-73.96889757735332 40.75742807025519, -73.97527814530734 40.75637502535424, -73.9772446567056 40.75191544407061, -73.97283151005868 40.74850923922983, -73.96645196820877 40.74956206444354, -73.9644845470139 40.75402131415529, -73.96889757735332 40.75742807025519))",40.752968550468005,-73.97086472899028
882a10088bfffff,"POLYGON ((-73.9619793563826 40.79992952883273, -73.96836582397616 40.798876414830254, -73.97033476270241 40.794414626682894, -73.96591814522743 40.79100628442329, -73.9595327057042 40.792059178755366, -73.95756285569821 40.796520634987445, -73.9619793563826 40.79992952883273))",40.795467802575054,-73.96394893647735
882a100a17fffff,"POLYGON ((-73.92401849049398 40.87239717688431, -73.93041548996794 40.871345405798806, -73.93239102525402 40.86688035744401, -73.92797047436585 40.863467413101354, -73.921574506729 40.864518965071554, -73.91959805825648 40.86898368046974, -73.92401849049398 40.87239717688431))",40.867932191415754,-73.92599466896426
882a107289fffff,"POLYGON ((-74.0057122762948 40.71413808973636, -74.01208632254425 40.713083467639585, -74.01404758577743 40.7086255833582, -74.00963571187067 40.70522265184765, -74.00326268926804 40.70627705364507, -74.00130051703714 40.710734607222335, -74.0057122762948 40.71413808973636))",40.7096802661834,-74.0076741787482
882a1072cdfffff,"POLYGON ((-74.0022744646159 40.73537602621501, -74.00865145382897 40.73432136635023, -74.01061392486535 40.729862375606345, -74.00620031653882 40.7264583755725, -73.99982435195174 40.72751281514541, -73.99786097117715 40.73197147501402, -74.0022744646159 40.73537602621501))",40.73091709639525,-74.00423757543584
882a1008d5fffff,"POLYGON ((-73.9536220412122 40.80544417154343, -73.96000940484282 40.80439146314058, -73.9619793563826 40.79992952883273, -73.95756285569821 40.796520634987445, -73.95117652050845 40.79757312387165, -73.94920565767491 40.802034726089786, -73.9536220412122 40.80544417154343))",40.80098229926872,-73.95559263423436
882a107251fffff,"POLYGON ((-74.00128501515357 40.76448557577046, -74.00766597591395 40.76343065837676, -74.00962975582917 40.75897008343115, -74.00521348593928 40.755564756894124, -73.99883355109118 40.75661945393188, -73.99686886033285 40.761079697832535, -74.00128501515357 40.76448557577046))",40.760025061971376,-74.00324943564168
882a107281fffff,"POLYGON ((-74.01404758577743 40.7086255833582, -74.02042073798236 40.70757055879517, -74.02238099289096 40.70311282320175, -74.01796900468898 40.69971044267145, -74.01159687576191 40.70076524678441, -74.00963571187067 40.70522265184765, -74.01404758577743 40.7086255833582))",40.70416790835039,-74.01600847979243
882a100d67fffff,"POLYGON ((-73.97969221725369 40.759781489005114, -73.98607291660541 40.75872782003586, -73.98803851785812 40.75426790735591, -73.9836243300169 40.750861995011526, -73.9772446567056 40.75191544407061, -73.97527814530734 40.75637502535424, -73.97969221725369 40.759781489005114))",40.755321637705,-73.98165845885661
882a100ae1fffff,"POLYGON ((-73.92994590679965 40.85900284199723, -73.93634097706182 40.857950882423985, -73.93831539378535 40.853486455870936, -73.93389565316748 40.85007432164421, -73.92750161406201 40.85112606202118, -73.92552628453086 40.85559015579117, -73.92994590679965 40.85900284199723))",40.8545384781595,-73.93192096636656
882a100895fffff,"POLYGON ((-73.96788698273323 40.786544974433184, -73.974271526561 40.78549167493181, -73.976239351894 40.78103051143948, -73.97182354441321 40.777622979160746, -73.96544002797853 40.77867605891165, -73.96347129174404 40.783136890661766, -73.96788698273323 40.786544974433184))",40.78208387266044,-73.96985544909508
882a100d29fffff,"POLYGON ((-73.9772446567056 40.75191544407061, -73.9836243300169 40.750861995011526, -73.98558983083457 40.746402560980236, -73.98117656823541 40.74299690737569, -73.97479792065863 40.74405013659621, -73.97283151005868 40.74850923922983, -73.9772446567056 40.75191544407061))",40.74745607139259,-73.97921079764828
882a107259fffff,"POLYGON ((-73.99293836780527 40.77000081157414, -73.9993202243749 40.768946298235846, -74.00128501515357 40.76448557577046, -73.99686886033285 40.761079697832535, -73.9904880300456 40.76213399096608, -73.98852232840895 40.76659438221224, -73.99293836780527 40.77000081157414))",40.765540150398465,-73.9949037992709
882a100d27fffff,"POLYGON ((-73.99393310003853 40.7408894215173, -74.00031098397913 40.739835164976334, -74.0022744646159 40.73537602621501, -73.99786097117715 40.73197147501402, -73.991484112232 40.73302551141412, -73.98951972184216 40.73748431912605, -73.99393310003853 40.7408894215173))",40.73643034382312,-73.9958972205727
882a100d6bfffff,"POLYGON ((-73.96054859247963 40.76294043900046, -73.96693005504771 40.76188779853582, -73.96889757735332 40.75742807025519, -73.9644845470139 40.75402131415529, -73.95810411091955 40.75507373508407, -73.95613567880322 40.75953313161864, -73.96054859247963 40.76294043900046))",40.758480772359455,-73.96251675513757
882a100891fffff,"POLYGON ((-73.9570868799842 40.78418956539498, -73.96347129174404 40.783136890661766, -73.96544002797853 40.77867605891165, -73.96102526311756 40.77526823378264, -73.95464187881434 40.77632068898855, -73.952672232028 40.780781188820804, -73.9570868799842 40.78418956539498))",40.779728795481134,-73.95905625713571
882a10725bfffff,"POLYGON ((-73.9904880300456 40.76213399096608, -73.99686886033285 40.761079697832535, -73.99883355109118 40.75661945393188, -73.99441832216888 40.75321383435543, -73.98803851785812 40.75426790735591, -73.98607291660541 40.75872782003586, -73.9904880300456 40.76213399096608))",40.75767380832863,-73.99245336126558
882a1008c1fffff,"POLYGON ((-73.95851555835975 40.82118847605505, -73.964904979794 40.82013532840027, -73.96687513424898 40.81567243818952, -73.96245677940513 40.81226302769066, -73.95606838702638 40.8133159556837, -73.95409732054877 40.817778513807355, -73.95851555835975 40.82118847605505))",40.81672564793099,-73.96048635474924
